NHHINC,HFIN_YN,HPRES_MORT,HDIV_YN,NHUNDER18,HINT_YN,NRPP
0.512195122,2,1,1,0,0,0.846740051
1,2,2,2,0.1,1,0.846740051
0.609756098,2,2,2,0,0,0.846740051
0.487804878,2,0,2,0,0,0.846740051
0.609756098,2,1,2,0,0,0.846740051
0.707317073,2,1,2,0,0,0.846740051
0.048780488,2,2,2,0,0,0.846740051
0.634146341,2,1,2,0,0,0.846740051
0.341463415,2,2,2,0.2,2,0.846740051
0,0,0,0,0,0,0.846740051
0.658536585,2,1,2,0.3,3,0.846740051
0,0,0,0,0,0,0.846740051
0.975609756,2,1,2,0.3,3,0.846740051
1,2,1,2,0.2,2,0.846740051
0.414634146,2,0,1,0,0,0.846740051
0,0,0,0,0,0,0.846740051
1,2,2,2,0.1,1,0.846740051
0.463414634,2,2,2,0,0,0.846740051
1,2,1,1,0,0,0.846740051
0.634146341,2,1,2,0.2,2,0.846740051
0.731707317,2,0,2,0,0,0.846740051
0.951219512,2,2,1,0,0,0.846740051
1,2,1,1,0,0,0.846740051
0.756097561,2,1,2,0,0,0.846740051
0.390243902,2,2,2,0,0,0.846740051
0.097560976,2,0,2,0,0,0.846740051
0.170731707,2,0,2,0,0,0.846740051
0.195121951,2,0,2,0,0,0.846740051
0.292682927,2,2,2,0,0,0.846740051
1,2,1,2,0,0,0.846740051
0.853658537,2,1,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.317073171,2,2,2,0,0,0.846740051
0.707317073,2,0,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.243902439,2,0,2,0,0,0.846740051
0.682926829,2,1,2,0.2,2,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.43902439,2,1,2,0.2,2,0.846740051
0.829268293,2,0,2,0,0,0.846740051
0.780487805,2,1,2,0.2,2,0.846740051
0.902439024,2,1,1,0.1,1,0.846740051
1,2,1,2,0.1,1,0.846740051
0.951219512,2,0,2,0.1,1,0.846740051
0,0,0,0,0,0,0.846740051
0.756097561,2,0,2,0.1,1,0.846740051
0,0,0,0,0,0,0.846740051
0.658536585,2,1,2,0.1,1,0.846740051
0,0,0,0,0,0,0.846740051
0.512195122,2,1,2,0.1,1,0.846740051
0.43902439,2,1,1,0.2,2,0.846740051
0.780487805,2,2,2,0,0,0.846740051
1,2,1,1,0.2,2,0.846740051
0.414634146,2,0,2,0,0,0.846740051
1,2,0,2,0,0,0.846740051
