HHINC,FINC_FIN,HPRES_MORT,HDIV_YN,FOWNU18,HINT_YN,RPP
6,2,2,2,0,2,89.1
0,2,0,0,0,0,89.1
25,2,1,2,0,2,89.1
9,2,0,2,1,2,89.1
41,2,0,2,1,1,89.1
41,2,1,2,0,1,89.1
41,1,1,2,0,1,89.1
41,2,0,2,0,2,88.4
0,2,0,0,0,0,88.4
22,2,2,1,0,1,88.4
15,2,2,2,0,1,88.4
8,2,2,2,0,2,88.4
9,2,0,2,0,2,88.4
0,2,0,0,2,0,88.4
0,2,0,0,2,0,88.4
41,2,1,2,0,1,88.4
24,2,1,2,0,2,88.4
0,2,0,0,0,0,88.4
24,2,1,2,0,1,88.4
15,2,1,2,0,1,88.4
10,2,2,2,1,1,88.4
0,2,0,0,0,0,88.4
0,2,0,0,0,0,96.8
0,2,0,0,1,0,96.8
41,2,2,2,0,1,96.8
0,2,0,0,0,0,96.8
0,2,0,0,0,0,96.8
41,2,1,2,2,1,96.8
20,2,1,2,2,2,96.8
0,2,0,0,2,0,96.8
41,2,2,2,0,1,96.8
0,2,0,0,0,0,96.8
41,2,1,1,0,2,96.8
0,2,0,0,1,0,96.8
21,2,2,1,2,1,96.8
38,2,2,2,0,1,96.8
24,2,1,1,0,1,96.8
38,2,1,2,0,1,96.8
0,2,0,0,0,0,96.8
41,2,1,1,2,1,96.8
0,2,0,0,0,0,96.8
0,2,0,0,0,0,96.8
0,2,0,0,0,0,96.8
41,2,0,2,0,1,96.8
16,2,1,2,0,2,96.8
21,2,0,2,2,1,96.8
41,2,1,2,0,1,96.8
24,2,0,2,0,2,96.8
0,2,0,0,2,0,96.8
0,2,0,0,0,0,96.8
26,2,2,2,0,1,96.8
41,2,0,1,0,1,96.8
5,2,0,2,2,2,96.8
22,2,2,2,0,2,96.8
10,2,0,2,3,1,96.8
1,2,2,2,0,2,96.8
25,2,0,2,0,1,96.8
0,2,0,0,2,0,96.8
0,2,0,0,0,0,96.8
16,2,0,2,0,1,96.8
0,2,0,0,0,0,96.8
41,2,1,1,3,1,96.8
0,2,0,0,2,0,96.8
0,2,0,0,0,0,96.8
0,2,0,0,0,0,96.8
41,2,1,2,0,1,96.8
41,2,1,1,0,1,96.8
29,2,1,2,0,1,96.8
41,2,1,2,0,1,96.8
41,2,2,2,0,1,96.8
0,2,0,0,2,0,96.8
14,2,0,2,0,1,96.8
0,2,0,0,0,0,96.8
41,2,2,2,1,1,96.8
13,2,0,2,2,2,96.8
0,2,0,0,0,0,96.8
3,2,2,2,0,2,96.8
30,2,0,2,0,1,96.8
